NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints
MORNINGSIDE HEIGHTS,504,424,46,14,20
KINGSBRIDGE HEIGHTS,204,161,30,2,11
SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY,1065,874,59,105,26
NORTH CORONA,147,112,13,17,5
OCEAN PARKWAY SOUTH,194,174,12,3,5
WEST BRIGHTON,141,100,28,8,5
MIDTOWN-MIDTOWN SOUTH,1542,1186,111,210,33
VAN CORTLANDT VILLAGE,481,376,51,12,42
SUNSET PARK EAST,254,216,19,8,11
STUYVESANT TOWN-COOPER VILLAGE,129,115,7,3,4
CORONA,294,239,37,5,13
BOROUGH PARK,329,243,52,16,18
WINDSOR TERRACE,143,112,18,8,5
HUNTERS POINT-SUNNYSIDE-WEST MASPETH,834,683,65,54,31
OLD ASTORIA,212,184,10,8,10
SEAGATE-CONEY ISLAND,335,254,32,26,23
WEST NEW BRIGHTON-NEW BRIGHTON-ST. GEORGE,651,561,34,19,37
MOUNT HOPE,443,360,43,7,33
NORWOOD,420,330,48,15,27
SPRINGFIELD GARDENS NORTH,131,99,13,7,12
PARK-CEMETERY-ETC-BROOKLYN,50,36,6,6,2
CLINTON HILL,671,539,65,30,37
PROSPECT HEIGHTS,332,275,21,18,18
GREAT KILLS,193,109,15,50,19
SPRINGFIELD GARDENS SOUTH-BROOKVILLE,64,43,9,6,6
KEW GARDENS,367,306,41,10,10
BUSHWICK SOUTH,777,577,65,60,75
STAPLETON-ROSEBANK,288,195,31,32,30
"",212,170,13,23,3
RUGBY-REMSEN VILLAGE,455,340,42,18,55
PROSPECT LEFFERTS GARDENS-WINGATE,1033,851,81,32,69
LINCOLN SQUARE,805,698,49,36,22
BENSONHURST WEST,420,318,45,37,20
AIRPORT,3,1,1,1,0
EAST FLATBUSH-FARRAGUT,419,305,49,16,49
MADISON,250,200,17,11,22
EAST NEW YORK,698,508,76,23,91
SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH,607,465,45,74,23
FORT GREENE,353,262,29,35,27
WHITESTONE,113,82,14,11,6
POMONOK-FLUSHING HEIGHTS-HILLCREST,181,149,8,10,14
GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN,210,121,17,47,25
CAMBRIA HEIGHTS,66,48,9,3,6
NORTH SIDE-SOUTH SIDE,763,636,51,47,29
REGO PARK,248,196,30,13,9
NORTH RIVERDALE-FIELDSTON-RIVERDALE,261,199,31,22,9
ALLERTON-PELHAM GARDENS,166,117,19,10,20
EAST WILLIAMSBURG,605,529,24,24,28
FRESH MEADOWS-UTOPIA,86,66,9,6,5
AUBURNDALE,73,50,13,6,4
EAST VILLAGE,1231,1122,53,22,34
MOTT HAVEN-PORT MORRIS,421,338,39,19,25
WEST CONCOURSE,345,289,33,5,18
SOUTH OZONE PARK,395,284,43,28,40
OAKLAND GARDENS,121,107,4,2,8
