Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
SUNSET PARK WEST,Brooklyn,53050.0,57.72855796418474,23.69462770970782,4.179076343072572,0.03581526861451461,0.03581526861451461,0.2846371347785108,11.530631479736098,9.79076343072573,0.6503298774740811,0.642789820923657,0.2224316682375118,57.72855796418474,Hispanic,false,SUNSET PARK WEST,357,259,32,31,35,0.006729500471253535,0.004882186616399623,6.032045240339303E-4,5.843543826578699E-4,6.597549481621112E-4,0.14794491758596165
PROSPECT HEIGHTS,Brooklyn,24082.0,8.786645627439583,56.66472884311934,19.906984469728428,0.016609916119923594,0.0,0.17855659828917864,7.324973008886306,3.795365833402541,2.038867203720621,1.2540486670542315,0.0,56.66472884311934,White,true,PROSPECT HEIGHTS,332,275,21,18,18,0.013786230379536583,0.01141931733244747,8.720205962959888E-4,7.474462253965618E-4,7.474462253965618E-4,0.33676294173221566
CROWN HEIGHTS NORTH,Brooklyn,87451.0,13.64992967490366,21.202730672033482,56.71290208230894,0.16352014270848816,0.0,0.8233182010497306,3.196075516574996,1.6146184720586387,1.0154257812946679,0.4116591005248653,0.0,56.71290208230894,Black,false,CROWN HEIGHTS NORTH,1558,1251,116,65,126,0.017815691072715006,0.01430515374323907,0.0013264571016912328,7.432733759476735E-4,0.0014408068518370286,0.4445798507466717
CROWN HEIGHTS SOUTH,Brooklyn,51880.0,10.47609868928296,31.127602158828065,55.34117193523515,0.0,0.0,0.7151117964533539,1.0370084811102545,0.3546646106399383,0.48959136468774095,0.15805705474171164,0.0019275250578257516,55.34117193523515,Black,false,CROWN HEIGHTS SOUTH,614,522,50,11,31,0.011835003855050116,0.010061680801850425,9.637625289128759E-4,2.1202775636083268E-4,5.97532767925983E-4,0.28455366890985
PROSPECT LEFFERTS GARDENS-WINGATE,Brooklyn,48477.0,8.43080223611197,24.71687604430967,59.182705200404314,0.03506817666109702,0.0,0.6023475050023722,3.1747014047899,1.8874930379355157,1.0541081337541514,0.1732780493842441,0.04125667842482002,59.182705200404314,Black,false,PROSPECT LEFFERTS GARDENS-WINGATE,1033,851,81,32,69,0.021309074406419538,0.01755471666976092,0.0016708954762052106,6.601068547971203E-4,0.0014233554056562905,0.5380528541389799
BAY RIDGE,Brooklyn,85796.0,19.711874679472235,58.68688516947177,3.181966525245932,0.09674110681150637,0.016317777052543243,0.35665998414844513,15.365518205976969,10.876963961023824,2.355587673084992,1.6038043731642502,0.18415776959298802,58.68688516947177,White,true,BAY RIDGE,1134,969,94,44,27,0.013217399412560026,0.01129423283136743,0.0010956221735279035,5.12844421651359E-4,3.1469998601333396E-4,0.32154264271926264
DYKER HEIGHTS,Brooklyn,43548.0,13.334711123358133,40.502434095710484,1.4420868926242307,0.24111325434003858,0.0,0.07348213465601176,43.547350050518965,38.86516028290622,3.0586938550564895,1.0241572517681639,0.1699274363920272,43.547350050518965,Asian,false,DYKER HEIGHTS,200,141,18,20,21,0.004592633416000735,0.003237806558280518,4.1333700744006614E-4,4.592633416000735E-4,4.8222650868007716E-4,0.09076843209195652
BATH BEACH,Brooklyn,33765.0,15.213978972308603,44.409891899896344,2.265659706796979,0.035539760106619286,0.008884940026654822,0.1273508070487191,33.08159336591145,27.17606989486154,4.895601954686806,0.2162002073152673,0.414630534577225,44.409891899896344,White,true,BATH BEACH,164,116,19,15,14,0.004857100547904635,0.0034355101436398636,5.627128683548053E-4,4.44247001332741E-4,4.146305345772249E-4,0.09784482043992307
FLATLANDS,Brooklyn,71676.0,8.732351135666052,15.52960544673252,65.6649366594118,0.132540878397232,0.0,0.8845359674088955,5.234667113120152,0.8622132931525197,3.8088062949941404,0.507840839332552,0.01534683855125844,65.6649366594118,Black,false,FLATLANDS,395,306,29,30,30,0.005510910207042804,0.004269211451531894,4.0459847089681345E-4,4.1855014230704837E-4,4.1855014230704837E-4,0.11533890758945396
CANARSIE,Brooklyn,90185.0,8.738703775572434,4.32777069357432,80.51449797638188,0.12973332594112102,0.0,0.3880911459777125,2.5015246437877696,1.5601264068304042,0.6719520984642678,0.24394300604313354,0.025503132449963963,80.51449797638188,Black,false,CANARSIE,363,262,33,23,45,0.004025059599711704,0.0029051394356045908,3.6591450906470034E-4,2.5503132449963963E-4,4.989743305427732E-4,0.07558177085626831
